id,playerAge,buyTicketTimeOfComp,packNormalScore,packReverseScore,packTimeOfComp,lab1Time,lab2Time,lab3Time,lab1Latency,lab2Latency,lab3Latency,lab1Hits,lab2Hits,lab3Hits,lab1Crosses,lab2Crosses,lab3Crosses,lab1DeadEnds,lab2DeadEnds,lab3DeadEnds,labXHits,labXCrosses,labXDeadEnds,labTimeOfComp,waitRoomCorrect,waitRoomIncorrect,waitRoomMissed,flyPlaneCorrect,flyPlaneIncorrect,flyPlaneMissed,flyPlaneGreenCorrect,flyPlaneGreenIncorrect,flyPlaneGreenMissed,flyPlaneTimeOfComp,coinsMinCorrect,coinsMinIncorrect,coinsMinMissed,coinsExtraCorrect,coinsExtraIncorrect,coinsExtraMissed,coinsSelected,coinsClicksBeforeMin,coinsTimeOfComp,unPackFirstSelected,unPackFirstCorrect,unPackFirstPerc,unPackS1Correct,unPackS2Correct,unPackS3Correct,unPackS1Incorrect,unPackS2Incorrect,unPackS3Incorrect,unPackS1Repeated,unPackS2Repeated,unPackS3Repeated,unPackFourFirstSample,unPackFourLastSample,unPackGroupingSample,unPackSpacialPrecisionSample,unPackTimeOfComp
120,9,108,4,4,382,65.0527,35.3848,29.1679,4.80019,3.01648,5.81689,6,21,12,0,8,7,2,3,1,13,5,2,137,8,70,3,22,8,0,6,3,0,60,11,1,13,0,0,13,"[""218"",""204"",""50"",""54"",""193"",""222"",""127"",""3"",""147"",""168"",""182"",""22""]",0,66,"[""Robot"",""Tabla de surf"",""Carrito""]",3,99.99,9,8,9,2,0,0,1,0,0,"[25,50,25,0]","[25,25,50,0]","[2,1,2,0]","[8,6,5,0]",196
121,10,149,4,4,340,54.7993,25.7164,23.1662,1.06665,2.45004,1.83331,16,13,19,2,6,10,4,1,2,16,6,2.33,114,11,5,0,19,7,4,6,3,0,76,2,5,22,0,1,22,"[""3"",""51"",""20"",""23"",""25"",""54"",""39"",""Coin32""]",0,111,"[""Robot"",""Tabla de surf"",""Carrito""]",3,99.99,12,12,12,7,0,6,4,0,2,"[25,50,50,0]","[25,25,25,0]","[6,4,5,0]","[6,0,0,0]",257
122,10,42,4,2,305,43.3183,47.285,26.7677,7.18364,15.8671,2.31676,2,6,5,0,2,3,0,1,0,4.33,1.67,0.33,127,11,32,0,27,2,1,6,2,1,59,10,7,14,3,4,11,"[""219"",""50"",""49"",""1"",""110"",""63"",""154"",""155"",""157"",""218"",""222"",""127"",""14"",""22"",""82"",""84"",""116"",""Coin73"",""Coin197"",""Coin193"",""Coin145"",""Coin130"",""Coin113"",""Coin119""]",1,81,"[""Robot"",""Tabla de surf"",""Alcancia""]",2,0,12,12,10,7,0,0,4,0,0,"[25,75,50,0]","[25,25,25,0]","[4,2,3,0]","[9,8,7,0]",328
123,9,54,5,2,385,62.1855,69.0692,74.3693,1.75011,31.4676,14.6337,5,7,12,0,3,5,0,0,1,8,2.67,0.33,214,11,0,0,28,1,1,9,0,0,74,7,3,17,5,1,12,"[""25"",""39"",""54"",""69"",""50"",""154"",""127"",""63"",""89"",""56"",""Coin8"",""Coin14"",""Coin82"",""Coin182"",""Coin3"",""Coin22""]",0,107,"[""Robot"",""Carrito"",""Alcancia""]",2,0,9,9,9,1,0,0,0,0,0,"[50,25,25,0]","[25,50,75,0]","[3,2,2,0]","[4,7,4,0]",268
124,10,198,4,3,372,69.7029,55.7357,45.2188,2.25004,3.33348,1.9837,3,4,3,0,1,0,0,0,0,3.33,0.33,0,179,11,7,0,26,2,2,7,1,1,81,13,3,11,2,0,9,"[""3"",""10"",""12"",""14"",""25"",""22"",""63"",""59"",""56"",""50"",""49"",""73"",""82"",""110"",""127"",""140"",""Coin168"",""Coin222""]",0,78,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,10,12,12,1,0,0,0,0,0,"[50,50,25,0]","[25,25,50,0]","[2,3,4,0]","[6,9,7,0]",256
125,11,61,5,4,395,95.2005,78.2004,84.1833,2.18354,5.11699,8.58268,29,14,15,17,6,8,6,0,3,19.33,10.33,3,265,10,162,1,23,7,0,6,3,0,41,13,5,11,11,0,0,"[""215"",""218"",""222"",""208"",""204"",""193"",""219"",""197"",""155"",""140"",""143"",""154"",""3"",""14"",""25"",""22"",""63"",""59"",""Coin56"",""Coin50"",""Coin69"",""Coin73"",""Coin82"",""Coin110"",""Coin127"",""Coin113"",""Coin147"",""Coin168"",""Coin182""]",0,115,"[""Tabla de surf"",""Carrito"",""Alcancia""]",2,0,12,12,1,7,1,1,4,0,0,"[0,25,0,0]","[0,50,0,0]","[4,4,0,0]","[6,9,1,0]",289
126,9,57,4,4,461,28.2002,74.9072,20.1503,2.86669,3.04967,2.80001,16,24,5,3,17,3,1,6,0,15,7.67,2.33,132,8,58,3,19,10,1,6,2,1,78,8,3,16,0,0,16,"[""12"",""14"",""22"",""3"",""50"",""32"",""208"",""182"",""168"",""140"",""113""]",0,69,"[""Robot"",""Tabla de surf"",""Carrito""]",3,99.99,1,8,9,1,3,4,0,3,2,"[1,0,0,0]","[0,50,25,0]","[0,1,3,0]","[0,6,4,0]",383
127,9,155,4,3,328,64.0675,60.3175,22.046,5.7501,3.4834,1.9623,21,37,15,3,22,9,5,4,2,24.33,11.33,3.67,154,11,32,0,22,8,0,4,5,0,47,12,0,12,12,188,0,"[""168"",""14"",""215"",""193"",""147"",""113"",""82"",""50"",""110"",""127"",""222"",""218"",""Coin25"",""Coin22"",""Coin89"",""Coin185"",""Coin187"",""Coin186"",""Coin170"",""Coin154"",""Coin138"",""Coin122"",""Coin106"",""Coin90"",""Coin74"",""Coin58"",""Coin41"",""Coin42"",""Coin26"",""Coin10"",""Coin12"",""Coin11"",""Coin27"",""Coin43"",""Coin59"",""Coin75"",""Coin91"",""Coin107"",""Coin123"",""Coin139"",""Coin155"",""Coin171"",""Coin203"",""Coin219"",""Coin202"",""Coin217"",""Coin201"",""Coin137"",""Coin153"",""Coin169"",""Coin121"",""Coin105"",""Coin73"",""Coin57"",""Coin9"",""Coin28"",""Coin44"",""Coin60"",""Coin76"",""Coin92"",""Coin108"",""Coin124"",""Coin156"",""Coin140"",""Coin172"",""Coin188"",""Coin204"",""Coin220"",""Coin221"",""Coin189"",""Coin205"",""Coin173"",""Coin157"",""Coin141"",""Coin125"",""Coin109"",""Coin93"",""Coin77"",""Coin61"",""Coin45"",""Coin29"",""Coin13"",""Coin15"",""Coin31"",""Coin47"",""Coin63"",""Coin79"",""Coin95"",""Coin143"",""Coin111"",""Coin159"",""Coin175"",""Coin191"",""Coin207"",""Coin224"",""Coin223"",""Coin208"",""Coin176"",""Coin192"",""Coin160"",""Coin144"",""Coin128"",""Coin112"",""Coin96"",""Coin80"",""Coin64"",""Coin48"",""Coin32"",""Coin16"",""Coi",2,246,"[""Robot"",""Tabla de surf"",""Lentes""]",2,0,9,9,9,10,3,1,4,1,0,"[25,0,50,0]","[0,25,50,0]","[3,1,0,0]","[5,5,2,0]",302
128,10,290,5,4,505,48.6843,25.9673,36.4209,9.06668,2.73338,6.45331,15,14,11,7,5,7,5,1,1,13.33,6.33,2.33,119,2,15,9,20,9,1,8,1,0,82,17,0,7,1,0,6,"[""3"",""215"",""193"",""218"",""222"",""204"",""182"",""168"",""147"",""154"",""140"",""113"",""127"",""110"",""82"",""73"",""69"",""Coin50""]",0,72,"[""Robot"",""Carrito"",""Carrito""]",3,99.99,12,12,12,7,1,0,4,1,1,"[25,50,25,0]","[50,50,0,0]","[5,3,4,0]","[0,0,0,0]",247
129,9,20,5,1,317,65.6852,17.8004,21.6671,29.9844,9.85025,4.38338,10,18,7,3,10,6,2,0,2,11.67,6.33,1.33,112,7,2,4,30,0,0,9,0,0,66,14,0,10,10,2,0,"[""3"",""215"",""218"",""193"",""204"",""182"",""14"",""25"",""22"",""63"",""59"",""56"",""50"",""69"",""Coin73"",""Coin82"",""Coin110"",""Coin222"",""Coin113"",""Coin127"",""Coin140"",""Coin147"",""Coin154"",""Coin168"",""Coin10"",""Coin12""]",0,172,"[""Carrito"",""Carrito"",""Pino""]",2,0,8,8,9,3,0,0,2,1,0,"[25,25,25,0]","[25,50,50,0]","[3,3,2,0]","[4,4,5,0]",268
